Epoch: [0][660/1345], lr: 0.00100	Time 1.426 (1.636)	Data 0.000 (0.018)	Loss 4.2757 (4.8710)	Prec@1 7.812 (3.461)	Prec@5 29.688 (11.824)
Epoch: [0][680/1345], lr: 0.00100	Time 1.543 (1.631)	Data 0.000 (0.018)	Loss 4.3375 (4.8602)	Prec@1 4.688 (3.570)	Prec@5 26.562 (12.156)
Epoch: [0][700/1345], lr: 0.00100	Time 1.454 (1.627)	Data 0.000 (0.017)	Loss 4.5857 (4.8494)	Prec@1 4.688 (3.678)	Prec@5 25.000 (12.484)
Epoch: [0][720/1345], lr: 0.00100	Time 1.441 (1.622)	Data 0.000 (0.017)	Loss 4.6620 (4.8384)	Prec@1 1.562 (3.777)	Prec@5 18.750 (12.725)
Epoch: [0][740/1345], lr: 0.00100	Time 1.434 (1.618)	Data 0.001 (0.016)	Loss 4.4147 (4.8284)	Prec@1 4.688 (3.871)	Prec@5 23.438 (13.019)
Epoch: [0][760/1345], lr: 0.00100	Time 1.458 (1.615)	Data 0.000 (0.016)	Loss 4.2543 (4.8187)	Prec@1 9.375 (3.991)	Prec@5 20.312 (13.272)
Epoch: [0][780/1345], lr: 0.00100	Time 1.423 (1.611)	Data 0.000 (0.016)	Loss 4.5322 (4.8081)	Prec@1 7.812 (4.135)	Prec@5 20.312 (13.612)
Epoch: [0][800/1345], lr: 0.00100	Time 1.448 (1.608)	Data 0.000 (0.015)	Loss 4.5569 (4.7976)	Prec@1 4.688 (4.243)	Prec@5 14.062 (13.871)
Epoch: [0][820/1345], lr: 0.00100	Time 1.529 (1.605)	Data 0.000 (0.015)	Loss 4.3024 (4.7878)	Prec@1 7.812 (4.343)	Prec@5 25.000 (14.127)
Epoch: [0][840/1345], lr: 0.00100	Time 1.435 (1.601)	Data 0.000 (0.015)	Loss 4.0695 (4.7779)	Prec@1 14.062 (4.457)	Prec@5 40.625 (14.402)
Epoch: [0][860/1345], lr: 0.00100	Time 1.525 (1.599)	Data 0.000 (0.014)	Loss 4.4927 (4.7694)	Prec@1 3.125 (4.530)	Prec@5 23.438 (14.654)
Epoch: [0][880/1345], lr: 0.00100	Time 1.446 (1.596)	Data 0.001 (0.014)	Loss 4.0394 (4.7596)	Prec@1 18.750 (4.647)	Prec@5 37.500 (14.939)
