Epoch: [0][660/1345], lr: 0.00100	Time 0.890 (1.049)	Data 0.000 (0.023)	Loss 4.4470 (4.8231)	Prec@1 4.688 (4.045)	Prec@5 25.000 (13.188)
Epoch: [0][680/1345], lr: 0.00100	Time 0.885 (1.045)	Data 0.001 (0.023)	Loss 4.3820 (4.8135)	Prec@1 7.812 (4.174)	Prec@5 32.812 (13.487)
Epoch: [0][700/1345], lr: 0.00100	Time 0.887 (1.042)	Data 0.000 (0.022)	Loss 4.5229 (4.8046)	Prec@1 1.562 (4.306)	Prec@5 14.062 (13.742)
Epoch: [0][720/1345], lr: 0.00100	Time 0.885 (1.039)	Data 0.000 (0.021)	Loss 4.6004 (4.7952)	Prec@1 7.812 (4.386)	Prec@5 21.875 (13.965)
Epoch: [0][740/1345], lr: 0.00100	Time 0.880 (1.036)	Data 0.000 (0.021)	Loss 4.4654 (4.7870)	Prec@1 9.375 (4.481)	Prec@5 29.688 (14.223)
Epoch: [0][760/1345], lr: 0.00100	Time 0.887 (1.033)	Data 0.000 (0.020)	Loss 4.4191 (4.7800)	Prec@1 7.812 (4.550)	Prec@5 26.562 (14.430)
Epoch: [0][780/1345], lr: 0.00100	Time 0.882 (1.030)	Data 0.000 (0.020)	Loss 4.4559 (4.7709)	Prec@1 3.125 (4.627)	Prec@5 21.875 (14.639)
Epoch: [0][800/1345], lr: 0.00100	Time 0.877 (1.027)	Data 0.000 (0.019)	Loss 4.5173 (4.7618)	Prec@1 7.812 (4.723)	Prec@5 25.000 (14.890)
Epoch: [0][820/1345], lr: 0.00100	Time 0.983 (1.025)	Data 0.000 (0.019)	Loss 4.3049 (4.7553)	Prec@1 9.375 (4.785)	Prec@5 25.000 (15.058)
Epoch: [0][840/1345], lr: 0.00100	Time 0.955 (1.022)	Data 0.000 (0.018)	Loss 4.3291 (4.7450)	Prec@1 9.375 (4.881)	Prec@5 23.438 (15.331)
Epoch: [0][860/1345], lr: 0.00100	Time 0.898 (1.020)	Data 0.001 (0.018)	Loss 4.5666 (4.7366)	Prec@1 10.938 (4.965)	Prec@5 20.312 (15.547)
Epoch: [0][880/1345], lr: 0.00100	Time 0.883 (1.018)	Data 0.000 (0.017)	Loss 4.3142 (4.7280)	Prec@1 7.812 (5.067)	Prec@5 28.125 (15.799)
Epoch: [0][900/1345], lr: 0.00100	Time 0.906 (1.016)	Data 0.000 (0.017)	Loss 4.2393 (4.7195)	Prec@1 12.500 (5.170)	Prec@5 28.125 (16.024)
Epoch: [0][920/1345], lr: 0.00100	Time 1.007 (1.014)	Data 0.000 (0.017)	Loss 4.4658 (4.7110)	Prec@1 4.688 (5.271)	Prec@5 20.312 (16.271)
Epoch: [0][940/1345], lr: 0.00100	Time 0.911 (1.013)	Data 0.000 (0.016)	Loss 4.2364 (4.7029)	Prec@1 7.812 (5.320)	Prec@5 25.000 (16.460)
Epoch: [0][960/1345], lr: 0.00100	Time 0.972 (1.011)	Data 0.000 (0.016)	Loss 4.1395 (4.6954)	Prec@1 18.750 (5.419)	Prec@5 32.812 (16.692)
Epoch: [0][980/1345], lr: 0.00100	Time 0.998 (1.009)	Data 0.001 (0.016)	Loss 4.2937 (4.6876)	Prec@1 7.812 (5.490)	Prec@5 28.125 (16.906)
Epoch: [0][1000/1345], lr: 0.00100	Time 0.962 (1.008)	Data 0.000 (0.015)	Loss 4.3034 (4.6795)	Prec@1 7.812 (5.582)	Prec@5 18.750 (17.119)
Epoch: [0][1020/1345], lr: 0.00100	Time 0.975 (1.006)	Data 0.000 (0.015)	Loss 4.3924 (4.6736)	Prec@1 6.250 (5.644)	Prec@5 29.688 (17.292)
Epoch: [0][1040/1345], lr: 0.00100	Time 0.888 (1.005)	Data 0.000 (0.015)	Loss 4.1630 (4.6658)	Prec@1 10.938 (5.722)	Prec@5 37.500 (17.479)
Epoch: [0][1060/1345], lr: 0.00100	Time 0.895 (1.004)	Data 0.000 (0.015)	Loss 4.3323 (4.6576)	Prec@1 12.500 (5.824)	Prec@5 32.812 (17.715)
Epoch: [0][1080/1345], lr: 0.00100	Time 0.896 (1.002)	Data 0.000 (0.014)	Loss 4.3117 (4.6517)	Prec@1 6.250 (5.889)	Prec@5 26.562 (17.883)
Epoch: [0][1100/1345], lr: 0.00100	Time 0.981 (1.001)	Data 0.000 (0.014)	Loss 4.3259 (4.6452)	Prec@1 7.812 (5.976)	Prec@5 25.000 (18.072)
Epoch: [0][1120/1345], lr: 0.00100	Time 0.886 (1.000)	Data 0.000 (0.014)	Loss 4.4737 (4.6389)	Prec@1 17.188 (6.077)	Prec@5 20.312 (18.269)
Epoch: [0][1140/1345], lr: 0.00100	Time 0.908 (0.998)	Data 0.000 (0.014)	Loss 4.3430 (4.6316)	Prec@1 9.375 (6.154)	Prec@5 31.250 (18.450)
Epoch: [0][1160/1345], lr: 0.00100	Time 0.890 (0.997)	Data 0.000 (0.013)	Loss 4.2636 (4.6246)	Prec@1 7.812 (6.228)	Prec@5 29.688 (18.634)
Epoch: [0][1180/1345], lr: 0.00100	Time 0.882 (0.996)	Data 0.000 (0.013)	Loss 4.0454 (4.6186)	Prec@1 18.750 (6.320)	Prec@5 37.500 (18.812)
Epoch: [0][1200/1345], lr: 0.00100	Time 0.908 (0.995)	Data 0.000 (0.013)	Loss 4.2558 (4.6129)	Prec@1 15.625 (6.379)	Prec@5 32.812 (18.967)
Epoch: [0][1220/1345], lr: 0.00100	Time 0.906 (0.994)	Data 0.000 (0.013)	Loss 4.1661 (4.6070)	Prec@1 6.250 (6.445)	Prec@5 28.125 (19.126)
Epoch: [0][1240/1345], lr: 0.00100	Time 0.905 (0.993)	Data 0.000 (0.013)	Loss 4.3266 (4.6007)	Prec@1 7.812 (6.536)	Prec@5 28.125 (19.303)
